fighter_name,status,age,height,weight,division,total_status,win_by_knockout,win_by_submission,title_defence,striking_accuracy,sig_Strikes_landed,sig_Strikes_attempted,takeDown_accuracy,takeDown_landed,takeDown_attempted,sig_str_landed_per_min,sig_str_absorbed_per_min,takeDown_avg_per_15_min,submission_avg_per_15_min,sig_str_defence,takeDown_defence,knockdown_avg,avg_fight_fime,sig_str_by_position_standing,sig_str_by_position_clinch,sig_str_by_position_ground,win_by_method_KO_TKO,win_by_method_DEC,win_by_method_SUB,sig_str_by_target_head,sig_str_by_target_head_percent,sig_str_by_target_body,sig_str_by_target_body_percent,sig_str_by_target_leg,sig_str_by_target_leg_percent,fight_history
Charalampos Grigoriou,Not Fighting,Striker,32,67.00,Bantamweight Division,8-5-0 (W-L-D),6,4,N/A,49,60,123,80,4,5,2.62,3.97,2.62,0.00,"47
                  %","91
                      %",1.31,07:38,33 (55%),1 (2%),26 (43%),6 (75%),2 (25%),0 (0%),49,82%,7,12%,4,7%,"[['Kazama', 'Aug. 10, 2024', '2', '1:55', 'Submission'], ['Grigoriou', 'Mar. 16, 2024', '3', '5:00', 'Decision - Unanimous']]",Kazama,"Aug. 10, 2024",2,1:55,Submission
Charalampos Grigoriou,Not Fighting,Striker,32,67.00,Bantamweight Division,8-5-0 (W-L-D),6,4,N/A,49,60,123,80,4,5,2.62,3.97,2.62,0.00,"47
                  %","91
                      %",1.31,07:38,33 (55%),1 (2%),26 (43%),6 (75%),2 (25%),0 (0%),49,82%,7,12%,4,7%,"[['Kazama', 'Aug. 10, 2024', '2', '1:55', 'Submission'], ['Grigoriou', 'Mar. 16, 2024', '3', '5:00', 'Decision - Unanimous']]",Grigoriou,"Mar. 16, 2024",3,5:00,Decision - Unanimous
Bolaji Oki,Active,28,70.00,167.40,Lightweight Division,9-2-0 (W-L-D),0,5,4,46,120,262,75,1,4,5.63,2.58,2.11,0.00,"64
                  %","86
                      %",0.70,07:07,108 (90%),7 (6%),5 (4%),5 (56%),3 (33%),1 (11%),97,81%,15,13%,8,7%,"[['Oki', 'Sep. 28, 2024', '1', '3:34', 'Submission'], ['Oki', 'Feb. 10, 2024', '3', '5:00', 'Decision - Split']]",Oki,"Sep. 28, 2024",1,3:34,Submission
Bolaji Oki,Active,28,70.00,167.40,Lightweight Division,9-2-0 (W-L-D),0,5,4,46,120,262,75,1,4,5.63,2.58,2.11,0.00,"64
                  %","86
                      %",0.70,07:07,108 (90%),7 (6%),5 (4%),5 (56%),3 (33%),1 (11%),97,81%,15,13%,8,7%,"[['Oki', 'Sep. 28, 2024', '1', '3:34', 'Submission'], ['Oki', 'Feb. 10, 2024', '3', '5:00', 'Decision - Split']]",Oki,"Feb. 10, 2024",3,5:00,Decision - Split
Mitch Ramirez,Active,MMA,32,71.00,Lightweight Division,8-2-0 (W-L-D),5,2,6,42,39,92,100,,1,2.37,3.34,0.91,0.00,"36
                  %",N/A,0.00,08:15,35 (90%),4 (10%),0 (0%),5 (63%),1 (13%),2 (25%),13,33%,8,21%,18,46%,"[['Moises', 'Mar. 16, 2024', '3', '0:15', 'KO/TKO']]",Moises,"Mar. 16, 2024",3,0:15,KO/TKO
Cameron Smotherman,Active,27,69.00,135.50,Bantamweight Division,12-4-0 (W-L-D),6,1,2,37,100,270,N/A,N/A,N/A,6.25,4.56,0.00,0.00,"61
                  %","50
                      %",0.00,08:00,100 (100%),0 (0%),0 (0%),6 (50%),5 (42%),1 (8%),44,44%,51,51%,5,5%,"[['Hadley', 'Oct. 19, 2024', '3', '5:00', 'Decision - Unanimous']]",Hadley,"Oct. 19, 2024",3,5:00,Decision - Unanimous
Abdul-Kareem Al-Selwady,Active,29,68.00,155.00,Lightweight Division,15-4-0 (W-L-D),8,2,6,35,107,309,31,3,13,4.14,3.60,2.32,0.00,"59
                  %","20
                      %",0.00,12:55,102 (95%),5 (5%),0 (0%),8 (53%),5 (33%),2 (13%),60,56%,17,16%,30,28%,"[['Al-Selwady', 'Mar. 2, 2024', '3', '0:49', 'KO/TKO']]",Al-Selwady,"Mar. 2, 2024",3,0:49,KO/TKO
Luis Pajuelo,Not Fighting,30,70.00,145.00,Featherweight Division,8-2-0 (W-L-D),7,4,N/A,57,39,68,N/A,N/A,N/A,6.03,8.20,0.00,0.00,"52
                  %","67
                      %",0.00,03:14,18 (46%),4 (10%),17 (44%),7 (88%),1 (13%),0 (0%),22,56%,11,28%,6,15%,"[['Padilla', 'Mar. 23, 2024', '1', '2:45', 'Submission']]",Padilla,"Mar. 23, 2024",1,2:45,Submission
Carlos Prates,Active,Striker,31,73.00,Welterweight Division,21-6-0 (W-L-D),11,16,9,57,149,260,100,,1,4.39,4.60,0.44,0.00,"49
                  %","92
                      %",3.54,06:47,147 (99%),0 (0%),2 (1%),16 (76%),2 (10%),3 (14%),79,53%,32,21%,38,26%,"[['Magny', 'Nov. 9, 2024', '1', '4:50', 'KO/TKO'], ['Jingliang', 'Aug. 17, 2024', '2', '4:02', 'KO/TKO'], ['Radtke', 'Jun. 8, 2024', '1', '4:47', 'KO/TKO']]",Magny,"Nov. 9, 2024",1,4:50,KO/TKO
Carlos Prates,Active,Striker,31,73.00,Welterweight Division,21-6-0 (W-L-D),11,16,9,57,149,260,100,,1,4.39,4.60,0.44,0.00,"49
                  %","92
                      %",3.54,06:47,147 (99%),0 (0%),2 (1%),16 (76%),2 (10%),3 (14%),79,53%,32,21%,38,26%,"[['Magny', 'Nov. 9, 2024', '1', '4:50', 'KO/TKO'], ['Jingliang', 'Aug. 17, 2024', '2', '4:02', 'KO/TKO'], ['Radtke', 'Jun. 8, 2024', '1', '4:47', 'KO/TKO']]",Jingliang,"Aug. 17, 2024",2,4:02,KO/TKO
